Season,Episode,Title,Airdate,Rating,Total Votes,Episode Description
6,5,A Tale of Two Bandits,25/04/2019,8.2,2310,"Terry believes the Pontiac Bandit has gone back to stealing cars, but Jake tries to prove him wrong; the rest of the squad fight to keep Shaw's a police bar when some firemen stake a claim to it."
6,6,The Crime Scene,2/5/19,8.5,2451,Jake and Rosa must deal with a mother in mourning when they work on a difficult murder case with confusing evidence.
6,7,The Honeypot,9/5/19,8.5,2338,"Jake and Holt clash over the merits of a new hire in the 99th precinct. Terry, Amy, Rosa and Charles try to do something about the cluttered bullpen."
6,8,"He Said, She Said",16/05/2019,7,3847,"Jake and Amy investigate a difficult ""he said, she said"" case of sexual assault. Holt becomes suspicious after learning his lifelong arch nemesis died in a prison transport accident."
6,9,The Golden Child,30/05/2019,8.1,2198,"Jake helps Amy navigate the complicated relationship she has with her brother, David. Charles introduces some drama into an undercover mission involving Terry and Holt."
6,10,Gintars,6/6/19,7.4,2017,A visitor from Latvia causes Charles and Jake to investigate Nikolaj's family. Holt and Amy bring in famed forensic scientist Dr. Yee to help close a case for Rosa.
6,11,The Therapist,13/06/2019,8.1,2087,Charles gets Jake involved in a case where a therapist reports one of his patients missing; Holt learns that Rosa has a new girlfriend whom everyone else has met; Amy thinks she mistakenly received a package for Terry.
6,12,Casecation,20/06/2019,7.6,2256,Work is so busy for Jake and Amy that they end up celebrating their anniversary while standing guard over a comatose patient in the hospital.
6,13,The Bimbo,27/06/2019,7.9,1968,"Holt and Jake investigate a case at Kevin's university. Back at the precinct, Terry and Amy take the squad out for lunch."
6,14,Ticking Clocks,4/7/19,8.4,2187,Jake and the squad must track down a hacker who has infiltrated the Nine-Nine's servers; Rosa deals with relationship issues; Hitchcock and Scully attempt to cook the perfect lasagna.
6,15,Return of the King,2/5/19,6.4,2463,"When Gina returns to the Nine-Nine, Jake and Terry get drawn into her life. Holt learns that Charles' son, Nikolaj, may be a genius; Rosa copes with an injury."
6,16,Cinco de Mayo,9/5/19,9.2,2923,"In order to distract Terry from the stress of his upcoming lieutenant's exam, Jake, Holt and the squad decide to hold the annual Halloween Heist on a new date, Cinco de Mayo."
6,17,Sicko,16/05/2019,8.5,1981,"Jake and Charles investigate a dangerous serial killer. Holt continues to spar with his rival, Commissioner Kelly. Terry tries to find a way to stay at the Nine-Nine."
6,18,The Suicide Squad,16/05/2019,9.1,2596,"Desperate circumstances call for desperate measures, as Jake, Holt, Amy, Terry, Rosa and Charles must ally themselves with old enemies."
7,1,Manhunter,26/03/2020,8.1,2053,Jake leads a manhunt after an assassination attempt on a city councilor; Holt adjusts to his new position as a uniformed officer.
7,2,Captain Kim,26/03/2020,8.3,1943,The new captain of the Nine-Nine invites the squad over to her house for a dinner party.
7,3,Pimemento,13/02/2020,8.6,2088,Adrian Pimento shows up unexpectedly to seek Jake and Charles' help after claiming someone is trying to kill him; the rest of the squad endures a workplace conflict seminar.
7,4,The Jimmy Jab Games II,20/02/2020,7.9,1820,Competitive juices are flowing as Jake and the squad compete in the second Jimmy Jab Games.
7,5,Debbie,27/02/2020,7.3,1925,"When cocaine and weapons are stolen from the evidence lock-up, the squad must investigate the Nine-Nine itself."
7,6,Trying,5/3/20,7.8,1762,Jake and Amy work an uncrackable case while Holt adjusts to a new beat. Hitchcock looks for the love of his life.
7,7,Ding Dong,12/3/20,8.7,2049,Capt. Holt deals with a personal loss; Jake must decide whether to take Terry or Charles to an exclusive event.
7,8,The Takeback,7/5/20,8.2,1808,"Doug Judy is back, and this time, things between him and Jake are personal; Amy and Charles try to find the perfect new vending machine for the Nine-Nine."
7,9,Dillman,14/05/2020,8.7,1870,"When a prank goes disastrously awry, things at the Nine-Nine take a distinctly Agatha Christie turn."
7,10,Admiral Peralta,2/4/20,8,1653,Jake and his father deal with unsettled family business; Amy and Rosa work a high-profile case; Terry wants to join the NYPD band.
7,11,Valloweaster,9/4/20,8.3,1839,The squad competes in an effort to determine who is the greatest human/genius.
7,12,Ransom,16/04/2020,8.8,1961,Holt asks for Jake's help in a case that is exceptionally meaningful to him. Charles and Terry work together on a side business.
7,13,Lights Out,23/04/2020,9.3,2786,The entire squad is on high alert when a massive blackout hits Brooklyn.
8,1,The Good Ones,1/1/21,4.8,4515,Amy returns from maternity leave; Jake and Rosa work a difficult case.
8,2,The Lake House,12/8/21,7.9,1891,The squad takes Capt. Holt up on an offer for a weekend getaway.
8,3,Blue Flu,19/08/2021,7,1641,Captain Holt and Amy manage an understaffed precinct; Jake and Charles investigate.
8,4,Balancing,19/08/2021,7.8,1450,Jake and Amy create a system to balance work and childcare; Rosa gets a new houseguest.
8,5,PB&J,26/08/2021,8,1454,Jake takes an old friend for a ride.
8,6,The Set Up,26/08/2021,6.7,1524,"When the FBI takes over a high-profile case, Jake keeps digging; Amy and Rosa negotiate with O'Sullivan and the police union."
8,7,Game of Boyles,2/9/21,8.1,1278,"Terry, Jake and Charles visit the Boyle Family Farm; Amy and Rosa help out Capt. Holt."
8,8,Renewal,2/9/21,8.1,1211,The squad comes together to work an important high-stakes case.
8,9,The Last Day Pt 1,16/09/2021,9.4,2130,The squad takes stock of their eight years together and look toward's their future.
8,10,The Last Day Pt 2,16/09/2021,9.6,2697,The squad takes stock of their eight years together and look towards their future.
